Data Source,World Development Indicators,,,
,,,,
Last Updated Date,3/18/20,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2018
Aruba,ABW,Population density (people per sq. km of land area),EN.POP.DNST,588.0277778
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,56.93776001
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,24.71305206
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,104.6122628
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,163.8425532
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST,37.37236537
United Arab Emirates,ARE,Population density (people per sq. km of land area),EN.POP.DNST,135.6091101
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.2585101
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,103.6802248
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,277.325
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,218.8318182
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,3.249129487
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,107.2069267
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,120.2653199
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,435.178271
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,377.2149273
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,101.8539198
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,72.19128289
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,1239.579312
Bulgaria,BGR,Population density (people per sq. km of land area),EN.POP.DNST,64.70353721
Bahrain,BHR,Population density (people per sq. km of land area),EN.POP.DNST,2017.2737
"Bahamas, The",BHS,Population density (people per sq. km of land area),EN.POP.DNST,38.52547453
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,64.92048828
Belarus,BLR,Population density (people per sq. km of land area),EN.POP.DNST,46.7287999
Belize,BLZ,Population density (people per sq. km of land area),EN.POP.DNST,16.79399386
Bermuda,BMU,Population density (people per sq. km of land area),EN.POP.DNST,1184.592572
Bolivia,BOL,Population density (people per sq. km of land area),EN.POP.DNST,10.48014585
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,25.06171624
Barbados,BRB,Population density (people per sq. km of land area),EN.POP.DNST,666.6069767
Brunei Darussalam,BRN,Population density (people per sq. km of land area),EN.POP.DNST,81.39696395
Bhutan,BTN,Population density (people per sq. km of land area),EN.POP.DNST,19.77752777
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,3.977424876
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,7.490412212
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,4.075308214
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST,92.76643663
Switzerland,CHE,Population density (people per sq. km of land area),EN.POP.DNST,215.5213784
Channel Islands,CHI,Population density (people per sq. km of land area),EN.POP.DNST,861.1060938
Chile,CHL,Population density (people per sq. km of land area),EN.POP.DNST,25.18944607
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,148.3488333
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,78.83405346
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,53.34398891
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,37.08259236
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,15.35684627
Colombia,COL,Population density (people per sq. km of land area),EN.POP.DNST,44.74870212
Comoros,COM,Population density (people per sq. km of land area),EN.POP.DNST,447.2444775
Cabo Verde,CPV,Population density (people per sq. km of land area),EN.POP.DNST,134.9297767
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,97.91306306
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST,18.17701618
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,108.9995962
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,
Cayman Islands,CYM,Population density (people per sq. km of land area),EN.POP.DNST,267.3916667
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,128.7083333
Czech Republic,CZE,Population density (people per sq. km of land area),EN.POP.DNST,137.6028879
Germany,DEU,Population density (people per sq. km of land area),EN.POP.DNST,237.3709698
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,41.36842105
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,95.5
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,138.0673017
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,219.9785759
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,17.73007507
East Asia & Pacific (excluding high income),EAP,Population density (people per sq. km of land area),EN.POP.DNST,130.8104315
Early-demographic dividend,EAR,Population density (people per sq. km of land area),EN.POP.DNST,98.13836364
East Asia & Pacific,EAS,Population density (people per sq. km of land area),EN.POP.DNST,95.43160553
Europe & Central Asia (excluding high income),ECA,Population density (people per sq. km of land area),EN.POP.DNST,18.47737541
Europe & Central Asia,ECS,Population density (people per sq. km of land area),EN.POP.DNST,33.4968853
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,68.78868175
"Egypt, Arab Rep.",EGY,Population density (people per sq. km of land area),EN.POP.DNST,98.87346929
Euro area,EMU,Population density (people per sq. km of land area),EN.POP.DNST,127.5822777
Eritrea,ERI,Population density (people per sq. km of land area),EN.POP.DNST,
Spain,ESP,Population density (people per sq. km of land area),EN.POP.DNST,93.52905826
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,30.38610536
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,109.224559
European Union,EUU,Population density (people per sq. km of land area),EN.POP.DNST,121.0781941
Fragile and conflict affected situations,FCS,Population density (people per sq. km of land area),EN.POP.DNST,39.86931254
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,18.15685565
Fiji,FJI,Population density (people per sq. km of land area),EN.POP.DNST,48.35703339
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,122.3383957
Faroe Islands,FRO,Population density (people per sq. km of land area),EN.POP.DNST,34.73996983
"Micronesia, Fed. Sts.",FSM,Population density (people per sq. km of land area),EN.POP.DNST,160.9142857
Gabon,GAB,Population density (people per sq. km of land area),EN.POP.DNST,8.224764233
United Kingdom,GBR,Population density (people per sq. km of land area),EN.POP.DNST,274.8273922
Georgia,GEO,Population density (people per sq. km of land area),EN.POP.DNST,65.27520207
Ghana,GHA,Population density (people per sq. km of land area),EN.POP.DNST,130.8214292
Gibraltar,GIB,Population density (people per sq. km of land area),EN.POP.DNST,3371.8
Guinea,GIN,Population density (people per sq. km of land area),EN.POP.DNST,50.52221227
"Gambia, The",GMB,Population density (people per sq. km of land area),EN.POP.DNST,225.3065217
Guinea-Bissau,GNB,Population density (people per sq. km of land area),EN.POP.DNST,66.65394737
Equatorial Guinea,GNQ,Population density (people per sq. km of land area),EN.POP.DNST,46.66573975
Greece,GRC,Population density (people per sq. km of land area),EN.POP.DNST,83.22473235
Grenada,GRD,Population density (people per sq. km of land area),EN.POP.DNST,327.8058824
Greenland,GRL,Population density (people per sq. km of land area),EN.POP.DNST,0.136496528
Guatemala,GTM,Population density (people per sq. km of land area),EN.POP.DNST,160.9537794
Guam,GUM,Population density (people per sq. km of land area),EN.POP.DNST,306.9777778
Guyana,GUY,Population density (people per sq. km of land area),EN.POP.DNST,3.957348235
High income,HIC,Population density (people per sq. km of land area),EN.POP.DNST,34.43776584
"Hong Kong SAR, China",HKG,Population density (people per sq. km of land area),EN.POP.DNST,7096.190476
Honduras,HND,Population density (people per sq. km of land area),EN.POP.DNST,85.68703191
Heavily indebted poor countries (HIPC),HPC,Population density (people per sq. km of land area),EN.POP.DNST,44.89578165
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,73.077198
Haiti,HTI,Population density (people per sq. km of land area),EN.POP.DNST,403.5985486
Hungary,HUN,Population density (people per sq. km of land area),EN.POP.DNST,107.9066055
IBRD only,IBD,Population density (people per sq. km of land area),EN.POP.DNST,68.7859052
IDA & IBRD total,IBT,Population density (people per sq. km of land area),EN.POP.DNST,68.70845188
IDA total,IDA,Population density (people per sq. km of land area),EN.POP.DNST,68.48408972
IDA blend,IDB,Population density (people per sq. km of land area),EN.POP.DNST,93.32562183
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,147.7521901
IDA only,IDX,Population density (people per sq. km of land area),EN.POP.DNST,60.26218738
Isle of Man,IMN,Population density (people per sq. km of land area),EN.POP.DNST,147.5035088
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,454.9380726
Not classified,INX,Population density (people per sq. km of land area),EN.POP.DNST,
Ireland,IRL,Population density (people per sq. km of land area),EN.POP.DNST,70.45298302
"Iran, Islamic Rep.",IRN,Population density (people per sq. km of land area),EN.POP.DNST,50.22242012
Iraq,IRQ,Population density (people per sq. km of land area),EN.POP.DNST,88.53057004
Iceland,ISL,Population density (people per sq. km of land area),EN.POP.DNST,3.526922693
Israel,ISR,Population density (people per sq. km of land area),EN.POP.DNST,410.5268022
Italy,ITA,Population density (people per sq. km of land area),EN.POP.DNST,205.4507479
Jamaica,JAM,Population density (people per sq. km of land area),EN.POP.DNST,270.9930748
Jordan,JOR,Population density (people per sq. km of land area),EN.POP.DNST,112.1424983
Japan,JPN,Population density (people per sq. km of land area),EN.POP.DNST,347.0734584
Kazakhstan,KAZ,Population density (people per sq. km of land area),EN.POP.DNST,6.769825907
Kenya,KEN,Population density (people per sq. km of land area),EN.POP.DNST,90.29941666
Kyrgyz Republic,KGZ,Population density (people per sq. km of land area),EN.POP.DNST,32.92909281
Cambodia,KHM,Population density (people per sq. km of land area),EN.POP.DNST,92.05641287
Kiribati,KIR,Population density (people per sq. km of land area),EN.POP.DNST,143.0209877
St. Kitts and Nevis,KNA,Population density (people per sq. km of land area),EN.POP.DNST,201.6961538
"Korea, Rep.",KOR,Population density (people per sq. km of land area),EN.POP.DNST,529.6521036
Kuwait,KWT,Population density (people per sq. km of land area),EN.POP.DNST,232.1722222
Latin America & Caribbean (excluding high income),LAC,Population density (people per sq. km of land area),EN.POP.DNST,32.02146146
Lao PDR,LAO,Population density (people per sq. km of land area),EN.POP.DNST,30.59578423
Lebanon,LBN,Population density (people per sq. km of land area),EN.POP.DNST,669.4941349
Liberia,LBR,Population density (people per sq. km of land area),EN.POP.DNST,50.03090739
Libya,LBY,Population density (people per sq. km of land area),EN.POP.DNST,3.795632381
St. Lucia,LCA,Population density (people per sq. km of land area),EN.POP.DNST,298.1786885
Latin America & Caribbean,LCN,Population density (people per sq. km of land area),EN.POP.DNST,32.00573337
Least developed countries: UN classification,LDC,Population density (people per sq. km of land area),EN.POP.DNST,56.8413289
Low income,LIC,Population density (people per sq. km of land area),EN.POP.DNST,51.67373831
Liechtenstein,LIE,Population density (people per sq. km of land area),EN.POP.DNST,236.9375
Sri Lanka,LKA,Population density (people per sq. km of land area),EN.POP.DNST,345.558922
Lower middle income,LMC,Population density (people per sq. km of land area),EN.POP.DNST,150.0815182
Low & middle income,LMY,Population density (people per sq. km of land area),EN.POP.DNST,69.24159606
Lesotho,LSO,Population density (people per sq. km of land area),EN.POP.DNST,69.43781291
Late-demographic dividend,LTE,Population density (people per sq. km of land area),EN.POP.DNST,51.40872056
Lithuania,LTU,Population density (people per sq. km of land area),EN.POP.DNST,44.53135138
Luxembourg,LUX,Population density (people per sq. km of land area),EN.POP.DNST,250.0938272
Latvia,LVA,Population density (people per sq. km of land area),EN.POP.DNST,30.98330653
"Macao SAR, China",MAC,Population density (people per sq. km of land area),EN.POP.DNST,20777.50026
St. Martin (French part),MAF,Population density (people per sq. km of land area),EN.POP.DNST,
Morocco,MAR,Population density (people per sq. km of land area),EN.POP.DNST,80.72851893
Monaco,MCO,Population density (people per sq. km of land area),EN.POP.DNST,
Moldova,MDA,Population density (people per sq. km of land area),EN.POP.DNST,123.5198035
Madagascar,MDG,Population density (people per sq. km of land area),EN.POP.DNST,45.13985562
Maldives,MDV,Population density (people per sq. km of land area),EN.POP.DNST,1718.986667
Middle East & North Africa,MEA,Population density (people per sq. km of land area),EN.POP.DNST,39.99770291
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,64.91462641
Marshall Islands,MHL,Population density (people per sq. km of land area),EN.POP.DNST,324.5166667
Middle income,MIC,Population density (people per sq. km of land area),EN.POP.DNST,72.29486998
North Macedonia,MKD,Population density (people per sq. km of land area),EN.POP.DNST,82.59151467
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,15.63501586
Malta,MLT,Population density (people per sq. km of land area),EN.POP.DNST,1511.03125
Myanmar,MMR,Population density (people per sq. km of land area),EN.POP.DNST,82.23861548
Middle East & North Africa (excluding high income),MNA,Population density (people per sq. km of land area),EN.POP.DNST,44.31116946
Montenegro,MNE,Population density (people per sq. km of land area),EN.POP.DNST,46.27100372
Mongolia,MNG,Population density (people per sq. km of land area),EN.POP.DNST,2.040608667
Northern Mariana Islands,MNP,Population density (people per sq. km of land area),EN.POP.DNST,123.6565217
Mozambique,MOZ,Population density (people per sq. km of land area),EN.POP.DNST,37.50853531
Mauritania,MRT,Population density (people per sq. km of land area),EN.POP.DNST,4.272163578
Mauritius,MUS,Population density (people per sq. km of land area),EN.POP.DNST,623.3019704
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,192.4407616
Malaysia,MYS,Population density (people per sq. km of land area),EN.POP.DNST,95.96282149
North America,NAC,Population density (people per sq. km of land area),EN.POP.DNST,19.97097624
Namibia,NAM,Population density (people per sq. km of land area),EN.POP.DNST,2.973745582
New Caledonia,NCL,Population density (people per sq. km of land area),EN.POP.DNST,15.53938731
Niger,NER,Population density (people per sq. km of land area),EN.POP.DNST,17.71765059
Nigeria,NGA,Population density (people per sq. km of land area),EN.POP.DNST,215.064989
Nicaragua,NIC,Population density (people per sq. km of land area),EN.POP.DNST,53.72704836
Netherlands,NLD,Population density (people per sq. km of land area),EN.POP.DNST,511.4579104
Norway,NOR,Population density (people per sq. km of land area),EN.POP.DNST,14.55491954
Nepal,NPL,Population density (people per sq. km of land area),EN.POP.DNST,195.9391071
Nauru,NRU,Population density (people per sq. km of land area),EN.POP.DNST,635.2
New Zealand,NZL,Population density (people per sq. km of land area),EN.POP.DNST,18.55417569
OECD members,OED,Population density (people per sq. km of land area),EN.POP.DNST,37.80923456
Oman,OMN,Population density (people per sq. km of land area),EN.POP.DNST,15.6041454
Other small states,OSS,Population density (people per sq. km of land area),EN.POP.DNST,15.13861641
Pakistan,PAK,Population density (people per sq. km of land area),EN.POP.DNST,275.2893187
Panama,PAN,Population density (people per sq. km of land area),EN.POP.DNST,56.18607748
Peru,PER,Population density (people per sq. km of land area),EN.POP.DNST,24.99160625
Philippines,PHL,Population density (people per sq. km of land area),EN.POP.DNST,357.6883053
Palau,PLW,Population density (people per sq. km of land area),EN.POP.DNST,38.92826087
Papua New Guinea,PNG,Population density (people per sq. km of land area),EN.POP.DNST,19.00436338
Poland,POL,Population density (people per sq. km of land area),EN.POP.DNST,124.0358862
Pre-demographic dividend,PRE,Population density (people per sq. km of land area),EN.POP.DNST,51.68744002
Puerto Rico,PRI,Population density (people per sq. km of land area),EN.POP.DNST,360.2201804
"Korea, Dem. People’s Rep.",PRK,Population density (people per sq. km of land area),EN.POP.DNST,212.1901752
Portugal,PRT,Population density (people per sq. km of land area),EN.POP.DNST,112.2394535
Paraguay,PRY,Population density (people per sq. km of land area),EN.POP.DNST,17.50835892
West Bank and Gaza,PSE,Population density (people per sq. km of land area),EN.POP.DNST,758.9845515
Pacific island small states,PSS,Population density (people per sq. km of land area),EN.POP.DNST,38.27674455
Post-demographic dividend,PST,Population density (people per sq. km of land area),EN.POP.DNST,35.26748894
French Polynesia,PYF,Population density (people per sq. km of land area),EN.POP.DNST,75.86857923
Qatar,QAT,Population density (people per sq. km of land area),EN.POP.DNST,239.5931955
Romania,ROU,Population density (people per sq. km of land area),EN.POP.DNST,84.63984701
Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,8.822079555
Rwanda,RWA,Population density (people per sq. km of land area),EN.POP.DNST,498.6598703
South Asia,SAS,Population density (people per sq. km of land area),EN.POP.DNST,380.2471337
Saudi Arabia,SAU,Population density (people per sq. km of land area),EN.POP.DNST,15.67665431
Sudan,SDN,Population density (people per sq. km of land area),EN.POP.DNST,
Senegal,SEN,Population density (people per sq. km of land area),EN.POP.DNST,82.34747832
Singapore,SGP,Population density (people per sq. km of land area),EN.POP.DNST,7952.998418
Solomon Islands,SLB,Population density (people per sq. km of land area),EN.POP.DNST,23.32468739
Sierra Leone,SLE,Population density (people per sq. km of land area),EN.POP.DNST,105.987171
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,309.8814672
San Marino,SMR,Population density (people per sq. km of land area),EN.POP.DNST,563.0833333
Somalia,SOM,Population density (people per sq. km of land area),EN.POP.DNST,23.9234769
Serbia,SRB,Population density (people per sq. km of land area),EN.POP.DNST,79.83174022
Sub-Saharan Africa (excluding high income),SSA,Population density (people per sq. km of land area),EN.POP.DNST,50.75862834
South Sudan,SSD,Population density (people per sq. km of land area),EN.POP.DNST,
Sub-Saharan Africa,SSF,Population density (people per sq. km of land area),EN.POP.DNST,50.76208431
Small states,SST,Population density (people per sq. km of land area),EN.POP.DNST,16.22446282
Sao Tome and Principe,STP,Population density (people per sq. km of land area),EN.POP.DNST,219.8208333
Suriname,SUR,Population density (people per sq. km of land area),EN.POP.DNST,3.69225
Slovak Republic,SVK,Population density (people per sq. km of land area),EN.POP.DNST,113.2905782
Slovenia,SVN,Population density (people per sq. km of land area),EN.POP.DNST,102.6398595
Sweden,SWE,Population density (people per sq. km of land area),EN.POP.DNST,25.00104343
Eswatini,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,66.05761628
Sint Maarten (Dutch part),SXM,Population density (people per sq. km of land area),EN.POP.DNST,
Seychelles,SYC,Population density (people per sq. km of land area),EN.POP.DNST,210.3521739
Syrian Arab Republic,SYR,Population density (people per sq. km of land area),EN.POP.DNST,92.06710777
Turks and Caicos Islands,TCA,Population density (people per sq. km of land area),EN.POP.DNST,39.64736842
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,12.29173364
East Asia & Pacific (IDA & IBRD countries),TEA,Population density (people per sq. km of land area),EN.POP.DNST,130.185453
Europe & Central Asia (IDA & IBRD countries),TEC,Population density (people per sq. km of land area),EN.POP.DNST,20.01725666
Togo,TGO,Population density (people per sq. km of land area),EN.POP.DNST,145.0467733
Thailand,THA,Population density (people per sq. km of land area),EN.POP.DNST,135.8972068
Tajikistan,TJK,Population density (people per sq. km of land area),EN.POP.DNST,65.57271417
Turkmenistan,TKM,Population density (people per sq. km of land area),EN.POP.DNST,12.45059477
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population density (people per sq. km of land area),EN.POP.DNST,31.41414444
Timor-Leste,TLS,Population density (people per sq. km of land area),EN.POP.DNST,85.27047747
Middle East & North Africa (IDA & IBRD countries),TMN,Population density (people per sq. km of land area),EN.POP.DNST,43.81292975
Tonga,TON,Population density (people per sq. km of land area),EN.POP.DNST,143.3291667
South Asia (IDA & IBRD),TSA,Population density (people per sq. km of land area),EN.POP.DNST,380.2471337
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population density (people per sq. km of land area),EN.POP.DNST,50.76208431
Trinidad and Tobago,TTO,Population density (people per sq. km of land area),EN.POP.DNST,270.9274854
Tunisia,TUN,Population density (people per sq. km of land area),EN.POP.DNST,74.44132338
Turkey,TUR,Population density (people per sq. km of land area),EN.POP.DNST,106.9601289
Tuvalu,TUV,Population density (people per sq. km of land area),EN.POP.DNST,383.6
Tanzania,TZA,Population density (people per sq. km of land area),EN.POP.DNST,63.5790788
Uganda,UGA,Population density (people per sq. km of land area),EN.POP.DNST,213.0617345
Ukraine,UKR,Population density (people per sq. km of land area),EN.POP.DNST,77.02966735
Upper middle income,UMC,Population density (people per sq. km of land area),EN.POP.DNST,45.46917663
Uruguay,URY,Population density (people per sq. km of land area),EN.POP.DNST,19.70802765
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,35.76608858
Uzbekistan,UZB,Population density (people per sq. km of land area),EN.POP.DNST,77.46920545
St. Vincent and the Grenadines,VCT,Population density (people per sq. km of land area),EN.POP.DNST,282.5897436
"Venezuela, RB",VEN,Population density (people per sq. km of land area),EN.POP.DNST,32.73079191
British Virgin Islands,VGB,Population density (people per sq. km of land area),EN.POP.DNST,198.68
Virgin Islands (U.S.),VIR,Population density (people per sq. km of land area),EN.POP.DNST,305.6485714
Vietnam,VNM,Population density (people per sq. km of land area),EN.POP.DNST,308.1252459
Vanuatu,VUT,Population density (people per sq. km of land area),EN.POP.DNST,24.00984413
World,WLD,Population density (people per sq. km of land area),EN.POP.DNST,59.63623626
Samoa,WSM,Population density (people per sq. km of land area),EN.POP.DNST,69.30388693
Kosovo,XKX,Population density (people per sq. km of land area),EN.POP.DNST,
"Yemen, Rep.",YEM,Population density (people per sq. km of land area),EN.POP.DNST,53.97785291
South Africa,ZAF,Population density (people per sq. km of land area),EN.POP.DNST,47.63011978
Zambia,ZMB,Population density (people per sq. km of land area),EN.POP.DNST,23.3414789
Zimbabwe,ZWE,Population density (people per sq. km of land area),EN.POP.DNST,37.32459093