Rank,Airport,Location,Code (IATA/ICAO),Total passengers,% change
1,Dubai International Airport,DUBAI,DXB, 77 453 466 ,10.7
2,Heathrow Airport,LONDON,LHR, 69 816 491 ,2.5
3,Hong Kong International Airport,HONG KONG,HKG, 68 139 897 ,8.3
4,Aéroport de Paris-Charles de Gaulle,PARIS,CDG, 60 369 798 ,3.0
5,Amsterdam Airport,AMSTERDAM,AMS, 58 245 545 ,6.0
6,Singapore Changi Airport,SINGAPORE,SIN, 54 835 000 ,2.9
7,Flughafen Frankfurt/Main,FRANKFURT,FRA, 53 994 154 ,2.4
8,Incheon International Airport,INCHEON,ICN, 48 720 319 ,8.5
9,Suvarnabhumi International Airport,BANGKOK,BKK, 43 251 807 ,16.3
10,Atatürk International Airport,ISTANBUL,IST, 42 302 859 ,11.1
11,Taiwan Taoyuan International Airport,TAIPEI,TPE, 38 103 889 ,7.6
12,Gatwick Airport,LONDON,LGW, 36 667 769 ,6.4
13,KL International Airport,KUALA LUMPUR,KUL, 34 434 015 ,0.0
14,Aeropuerto de Adolfo Suárez Madrid-Barajas,MADRID,MAD, 33 787 171 ,14.1
15,Munich Airport,MUNICH,MUC, 31 313 329 ,3.5
16,Hamad International Airport,DOHA,DOH, 30 906 303 ,17.3
17,Narita International Airport,TOKYO,NRT, 30 547 564 ,3.2
18,John F. Kennedy International Airport,NEW YORK NY,JFK, 30 017 244 ,6.2
19,Aeropuerto de Barcelona-El Prat,BARCELONA,BCN, 29 077 820 ,6.7
20,Aeroporto di Roma-Fiumicino,ROME,FCO, 28 280 267 ,5.4
21,Flughafen Zürich,ZURICH,ZRH, 25 613 593 ,3.1
22,Toronto Pearson International Airport,TORONTO ON,YYZ, 25 123 887 ,7.6
23,Dublin Airport,DUBLIN,DUB, 24 876 506 ,14.9
24,Copenhagen Airport,COPENHAGEN,CPH, 24 639 122 ,4.4
25,Pudong International Airport,SHANGHAI,PVG, 23 384 559 ,18.3
26,Brussels Airport,BRUSSELS,BRU, 23 225 980 ,6.9
27,Abu Dhabi International Airport,ABU DHABI,AUH, 22 841 994 ,18.6
28,Vienna International Airport,VIENNA,VIE, 22 147 203 ,1.5
29,Miami International Airport,MIAMI FL,MIA, 21 206 557 ,5.5
30,Antalya International Airport,ANTALYA,AYT, 20 786 255 ,-5.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,