Country_Code,Non-communicable diseases (NCDs) (DALYs lost),Respiratory diseases (DALYs lost)
AFG,6948558.253548018,359121.7163807173
ALB,627627.01437772,25151.25083860136
DZA,7036442.020200626,330359.10928765533
ASM,12234.517101604073,854.1835393742409
AND,16829.225344435497,926.9553302396004
AGO,4181835.4363873205,227763.4023620137
ATG,17785.314121914984,594.4141025853106
ARG,8999387.711052086,490414.57812155096
ARM,769013.0595491158,33705.652034382874
AUS,4880078.398158864,315475.7335811963
AUT,2089179.1801082087,101569.89426693878
AZE,2366332.6337284115,88207.52222134311
BHS,80131.33118238307,2834.6579326939973
BHR,225090.13091075487,10375.674230468228
BGD,28707317.5384414,2448171.321008496
BRB,71991.05504577387,2294.408669239989
BLR,3057165.4396816287,87948.12391443654
BEL,2716255.2466188823,165332.29286818605
BLZ,63053.946562640536,3428.6217079940584
BEN,1671253.8169923103,93480.33776794547
BMU,14531.035702019006,643.2894231727183
BTN,144848.21851635646,12408.811546977991
BOL,2001764.0906479056,102914.05995144529
BIH,997517.5449406416,45052.56452786265
BWA,329736.58984089736,25788.506271481758
BRA,43033064.68607839,2146048.225019168
BRN,74350.8336079053,3178.4430668550153
BGR,2559295.9337957357,107493.3970889656
BFA,3660766.224245543,156329.8741495409
BDI,1654037.1763635983,90035.58017691872
KHM,2984492.0941289496,180846.0574488544
CMR,3985741.519066162,236615.00955885852
CAN,8022669.940441823,407926.3458180164
CPV,86245.8378632378,3425.523862919728
CAF,1001651.9456540577,61440.16392940121
TCD,2270786.8138545086,124640.43093418884
CHL,3591611.888524576,160641.7381611637
CHN,307002366.2318381,23134239.70822763
COL,7596540.395551507,423543.1279451533
COM,119795.41775776225,6217.268675179636
COG,854055.268185009,50646.472517989394
CRI,766738.0811047195,39985.716629281764
CIV,3909502.7460453836,198516.9311500017
HRV,1239022.072136959,56710.04834997901
CUB,2656109.1306241592,135656.8994693213
CYP,248859.86564947962,12992.274680194314
CZE,2820639.0358301727,137707.75628949568
COD,13536929.24794791,777673.0114650776
DNK,1420726.81302306,95230.32130094516
DJI,168475.9413344199,7639.001899307372
DMA,17792.35538955847,717.7298908200314
DOM,1906109.059243797,73025.96457150407
ECU,2721347.9565378963,105163.69777946793
EGY,19790063.780424505,1102163.2083717466
SLV,1122674.0579191004,45446.77108138723
GNQ,166065.37386302743,8409.170300074189
ERI,959231.0579276136,50484.53491785116
EST,378411.9276540626,11258.603592915257
ETH,12376226.141924538,588164.8557032521
FJI,246908.6048682877,16310.716906129042
FIN,1384091.2904362888,58543.95753133286
FRA,14228799.9697133,535571.5163482106
GAB,293591.71948791377,14170.32455323985
GMB,346951.9970242089,17633.587660020934
GEO,1204982.4302552163,50456.02338568329
DEU,22727099.529919103,1247634.2016824451
GHA,4746698.186323703,237949.51270621104
GRC,2802145.078867064,154012.18389687606
GRL,14020.957083494492,980.7889851435948
GRD,28251.712422413297,1081.0233290579865
GUM,40967.754269876605,2573.4216277174733
GTM,2690964.539565198,96233.1610151153
GIN,2046641.6913193385,123044.44261071713
GNB,340890.55191040144,17598.517142899684
GUY,165802.15535717257,5942.638802057728
HTI,2494089.1967595243,141443.8172396151
HND,1441970.8960314118,87105.52363091176
HUN,3095702.898335294,173757.31130958456
ISL,64884.1078437987,4070.9203242998383
IND,269176255.1569128,33756760.767838664
IDN,52215597.56038366,3543650.1365836286
IRN,15509595.412241353,593550.2715713439
IRQ,6033373.975303269,248931.58680291852
IRL,967651.7927720315,62127.81005283959
ISR,1447735.220744268,64990.58733901836
ITA,14724096.238859044,579468.8280034735
JAM,575478.2606130589,26088.66278801812
JPN,29209306.66338881,1354109.0148336908
JOR,1482733.8456991825,66728.14381659393
KAZ,4125654.982010352,190033.53462033469
KEN,6417839.145750574,321117.58819388004
KIR,32618.436657752838,2737.103150407671
KWT,573971.2901704832,25198.21168789861
KGZ,1130033.605063603,48817.88513756616
LAO,1368365.3304215702,105532.145169208
LVA,665721.4996016808,17900.063782542533
LBN,1438774.7749182992,75102.55996766347
LSO,414345.163470781,40806.911662924416
LBR,690030.9972077373,30881.616716494547
LBY,1378918.3675635906,61989.43160862946
LTU,954385.5602863512,27717.81248728264
LUX,129285.49855930939,6944.1496582018935
MKD,566524.6578067057,22538.051181764786
MDG,4230849.3325918,315559.1240635948
MWI,2556867.906792868,126134.28697477828
MYS,5158863.304688488,251212.49680428067
MDV,55494.76272756903,3851.149666589364
MLI,3386045.9530631,209299.18036981122
MLT,107534.20849286873,4929.201914816331
MHL,14671.781540110233,1122.2256825848697
MRT,546926.127240633,29333.87410601428
MUS,333713.2634489591,16578.423112074554
MEX,22759447.63630053,1026299.3296944591
FSM,25114.179076338372,1985.2338679103127
MDA,1162879.9361477823,33028.19345126358
MNG,716574.4702640901,19959.92000768721
MNE,171564.00779996585,4804.114096142003
MAR,7846073.947215497,353662.7556061998
MOZ,4618673.477945821,220222.36368757047
MMR,11875379.753387876,1468156.0465244697
NAM,347199.2541284455,28474.948793110907
NPL,5289340.212828798,671250.3638322004
NLD,4062739.4507032763,257198.03631551558
NZL,950715.5299436696,58669.61371789064
NIC,883760.9946437431,36666.16322104962
NER,2830537.82952668,163705.36052855017
NGA,28148570.85905314,1207570.3175518094
PRK,6818853.928787867,1052129.661839083
MNP,9944.122726231406,690.8401867255158
NOR,1133373.5992555714,68127.93278036527
OMN,626624.93375916,19226.12886038702
PAK,40091438.043780304,2485319.484229432
PSE,681644.6131921101,28809.61012292496
PAN,599962.8376875418,28350.78215456501
PNG,2633566.7667504195,486382.8514491473
PRY,1133315.7347769816,47931.09137033968
PER,4608529.86409339,240229.2303812288
PHL,21108726.076053184,1646388.944782203
POL,10358435.513483543,466534.56384400977
PRT,2726309.363079051,149726.09243669102
PRI,841017.0290283216,45376.547204896204
QAT,343943.7207968853,13291.345642061187
ROU,6291885.100809547,264537.89909496764
RUS,47626092.82811631,1449940.2158761825
RWA,1736393.3783525822,108004.59412665213
LCA,38676.426651294816,1876.535341755241
VCT,28500.885953439487,942.916472815888
WSM,35656.95752933215,2916.321579121741
STP,34123.13647547262,2903.2539496180398
SAU,4945276.392570791,178273.98093215353
SEN,2197079.438072279,120859.26865402929
SRB,2832369.035350755,129096.80488122485
SYC,22593.807905047066,1061.030781784079
SLE,1357739.1113756795,68298.45021749112
SGP,769735.6173882934,29302.025552754483
SVK,1439701.4287774232,49621.10723915174
SVN,506035.2916815132,22071.546309269263
SLB,126838.49112484927,10115.969239383585
SOM,2574165.8800593256,145300.52188506012
ZAF,9432854.909115728,769705.1172168659
KOR,9556659.444895526,495800.3935003302
SSD,1470291.6359582432,87043.76798945063
ESP,10268132.81399523,586626.9399532293
LKA,3983503.5234843064,320558.6911895234
SDN,7347277.580474459,310761.256953789
SUR,128251.7920639559,5585.870295484941
SWZ,197352.08021146685,14695.609508428051
SWE,2270817.871934737,136465.45422000517
CHE,1784208.404796509,87115.42963472367
SYR,3120844.326582052,164118.97149263858
TWN,5224536.893271863,402727.70112162107
TJK,1559778.4071861156,64846.2167906816
TZA,8362605.737484572,390402.23666069034
THA,14180054.2374841,686676.8954439565
TLS,217813.7255758548,16048.663699336428
TGO,1128192.915111514,64886.7398736932
TON,21457.72553914285,1711.0775948419785
TTO,345476.4105779655,11929.34887534328
TUN,2197533.780401164,101970.12121222193
TUR,15587078.670348736,1099216.8755463462
TKM,1133699.949301865,26151.13206081135
UGA,5077099.629508777,260792.1107865009
UKR,17308187.360242598,462949.3438388682
ARE,1713297.247364303,122111.39087108082
GBR,16057593.727018125,1202971.643165227
USA,85221367.03476307,5995478.973918001
VIR,32685.270428392167,1140.4759347185573
URY,811216.3394192181,49506.97550014071
UZB,6573787.358985907,205757.45869358367
VUT,71124.30009262353,6456.084054174131
VEN,5175504.409964342,236974.6373785468
VNM,18441621.73056138,1068973.002926062
OWID_WRL,1550896144.958783,112316762.9952717
YEM,5178494.857416234,243189.8817114565
ZMB,2472273.5901282853,117136.15782779652
ZWE,2332980.2365698223,174027.16193696618
